"ITEM","CATEGORY","STORE_NAME","UNIT_PRICE","QUANTITY","SUBTOTAL","CREATED_AT","DELIVERY_TIME","DELIVERY_ADDRESS"
"Iced Caffè Mocha","Cold Coffee","Starbucks",5.29,1,5.29,"2025-04-10 10:26:58.437000000","2025-04-10 10:38:27.224650000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Double Stack (Cals: 440)","Cheeseburgers","Wendy's",3.02,2,6.03,"2025-03-28 22:36:02.992000000","2025-03-28 22:48:14.555649000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chocolate Frosty® (Cals: 200-580)","Frosty®","Wendy's",3.02,1,3.02,"2025-03-28 22:36:02.992000000","2025-03-28 22:48:14.555649000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"12-Pack Chocolate Chunk Cookies (2610 Cals)","Sidekicks","Subway",4.42,1,4.42,"2024-09-11 04:24:57.319000000","2024-09-11 04:40:10.222000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Meatball Marinara","Build Your Own","Subway",7.79,1,7.79,"2024-09-11 04:24:57.319000000","2024-09-11 04:40:10.222000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"10 McNuggets Extra Value Meal [840-1190 Cals]","Chicken & Fish","McDonald's",13.99,1,13.99,"2024-09-07 01:13:33.413000000","2024-09-07 01:30:10.993000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Filet-O-Fish [400.0 Cals]","Individual Items","McDonald's",5.81,1,5.81,"2024-09-07 01:13:33.413000000","2024-09-07 01:30:10.993000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Fudge Sundae [340.0 Cals]","Sweets & Treats","McDonald's",2.94,1,2.94,"2024-09-07 01:13:33.413000000","2024-09-07 01:30:10.993000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spicy Buffalo Chicken Mac & Cheese","Pasta","Boston Pizza",17.75,1,17.75,"2024-09-05 23:31:54.900000000","2024-09-06 00:16:20.176000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chocolate Brownie Addiction","Desserts","Boston Pizza",5.84,1,5.84,"2024-09-05 23:31:54.900000000","2024-09-06 00:16:20.176000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spicy Buffalo Chicken Mac & Cheese","Pasta","Boston Pizza",17.39,1,17.39,"2024-04-16 23:13:11.382000000","2024-04-16 23:40:16.053000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chocolate Brownie Addiction","Desserts","Boston Pizza",5.58,1,5.58,"2024-04-16 23:13:11.382000000","2024-04-16 23:40:16.053000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chicken Sandwich Combo","Sandwich Combos","Popeyes Louisiana Kitchen",11.12,1,11.12,"2024-04-15 21:44:05.131000000","2024-04-15 22:04:59.622000000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"10 Chicken McNuggets [490-630 Cals]","Individual Items","McDonald's",8.75,1,8.75,"2023-10-03 22:14:24.166000000","2023-10-03 22:34:10.297895000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Coffee Frappé w/ Whipped Cream & Choc Drizzle [480.0 Cals]","Cold Drinks","McDonald's",3.79,1,3.79,"2023-10-03 22:14:24.166000000","2023-10-03 22:34:10.297895000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Sausage 'N Egg McMuffin [430.0 Cals]","All Day Breakfast","McDonald's",4.15,1,4.15,"2023-10-03 22:14:24.166000000","2023-10-03 22:34:10.297895000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"10 Chicken McNuggets [490-630 Cals]","Individual Items","McDonald's",8.83,1,8.83,"2023-10-01 23:41:28.558000000","2023-10-01 23:55:15.227780000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Coffee Frappé w/ Whipped Cream & Choc Drizzle [480.0 Cals]","Cold Drinks","McDonald's",3.82,1,3.82,"2023-10-01 23:41:28.558000000","2023-10-01 23:55:15.227780000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Sausage 'N Egg McMuffin [430.0 Cals]","All Day Breakfast","McDonald's",4.19,1,4.19,"2023-10-01 23:41:28.558000000","2023-10-01 23:55:15.227780000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",13.03,1,13.03,"2023-10-01 01:37:02.888000000","2023-10-01 01:59:08.651217000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Sweet Onion Chicken Teriyaki","Classic Sandwiches","Subway",10.05,1,10.05,"2023-09-26 23:39:26.367000000","2023-09-26 23:55:05.877364000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spicy Buffalo Chicken Mac & Cheese","Pasta","Boston Pizza",17.06,1,17.06,"2023-09-24 22:19:32.336000000","2023-09-24 23:06:45.794150000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Can of Pop","Beverages","Boston Pizza",1.55,1,1.55,"2023-09-24 22:19:32.336000000","2023-09-24 23:06:45.794150000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chicken & Mango Poke  / Poke Poulet et mangue","POKE BOWLS / BOLS POKE","Sushi Shop",12.97,1,12.97,"2023-09-22 22:04:01.897000000","2023-09-22 23:11:46.684069000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"10 Chicken McNuggets [490-630 Cals]","Individual Items","McDonald's",8.9,1,8.9,"2023-09-21 01:33:37.878000000","2023-09-21 01:48:02.409598000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Filet-O-Fish [400.0 Cals]","Individual Items","McDonald's",5.56,1,5.56,"2023-09-21 01:33:37.878000000","2023-09-21 01:48:02.409598000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Coffee Frappé w/ Whipped Cream & Choc Drizzle [480.0 Cals]","Cold Drinks","McDonald's",3.85,1,3.85,"2023-09-21 01:33:37.878000000","2023-09-21 01:48:02.409598000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Bubble Tea","Bubble Tea, Smoothie, and Ice Green Tea","Spicy Ho Ho",4.08,1,4.08,"2023-09-20 01:15:25.612000000","2023-09-20 01:49:08.047084000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Egg Fry Rice","Rice and Noodles","Spicy Ho Ho",9.61,1,9.61,"2023-09-20 01:15:25.612000000","2023-09-20 01:49:08.047084000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Small","Create Your Own","Pizza Pizza",6.35,2,12.69,"2023-09-15 21:08:13.570000000","2023-09-15 21:23:18.426551000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Dipping Sauce","Famous Dips","Pizza Pizza",1.03,1,1.03,"2023-09-15 21:08:13.570000000","2023-09-15 21:23:18.426551000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Two-bite Brownies","Sweet Treats","Pizza Pizza",4.43,1,4.43,"2023-09-15 21:08:13.570000000","2023-09-15 21:23:18.426551000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"10 Chicken McNuggets [490-630 Cals]","Individual Items","McDonald's",8.87,1,8.87,"2023-08-31 22:22:05.280000000","2023-08-31 22:36:33.391864000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Cheeseburger [290.0 Cals]","Individual Items","McDonald's",2.81,1,2.81,"2023-08-31 22:22:05.280000000","2023-08-31 22:36:33.391864000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Coffee Frappé w/ Whipped Cream & Choc Drizzle [480.0 Cals]","Cold Drinks","McDonald's",3.84,1,3.84,"2023-08-31 22:22:05.280000000","2023-08-31 22:36:33.391864000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Coffee Frappé w/ Whipped Cream & Choc Drizzle [480.0 Cals]","Cold Drinks","McDonald's",3.83,1,3.83,"2023-08-30 05:35:04.761000000","2023-08-30 05:47:22.435472000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chocolate Triple Thick Milkshake [490.0 Cals]","Cold Drinks","McDonald's",1.84,1,1.84,"2023-08-30 05:35:04.761000000","2023-08-30 05:47:22.435472000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Ripped Berry","High Protein Smoothies","Booster Juice",7.22,1,7.22,"2023-08-12 16:38:06.429000000","2023-08-12 17:05:39.655219000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Oat'rageous Mocha (Regular Size)","Spirit Smoothies","Booster Juice",8.19,1,8.19,"2023-08-12 16:38:06.429000000","2023-08-12 17:05:39.655219000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Coffee Frappé w/ Whipped Cream & Choc Drizzle [480.0 Cals]","Cold Drinks","McDonald's",3.56,1,3.56,"2023-08-11 18:00:58.661000000","2023-08-11 18:11:27.609177000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Fudge Sundae [340.0 Cals]","Sweets & Treats","McDonald's",2.97,1,2.97,"2023-08-11 18:00:58.661000000","2023-08-11 18:11:27.609177000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Oat'rageous Mocha (Regular Size)","Spirit Smoothies","Booster Juice",8.23,1,8.23,"2023-08-04 10:49:57.849000000","2023-08-04 11:42:31.451017000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Ripped Berry","High Protein Smoothies","Booster Juice",7.26,1,7.26,"2023-08-04 10:49:57.849000000","2023-08-04 11:42:31.451017000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Mashed Potatoes","Signature Sides","Popeyes Louisiana Kitchen",6.06,2,12.11,"2023-07-31 17:38:09.538000000","2023-07-31 18:05:08.944505000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Minute Maid Apple Juice","Drinks","Pizza Pizza",2.11,1,2.11,"2023-07-16 02:57:31.660000000","2023-07-16 03:28:32.235386000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Dipping Sauce","Famous Dips","Pizza Pizza",1.06,1,1.06,"2023-07-16 02:57:31.660000000","2023-07-16 03:28:32.235386000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",12.69,1,12.69,"2023-07-16 02:57:31.660000000","2023-07-16 03:28:32.235386000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Beef Fry Rice","Rice and Noodles","Spicy Ho Ho",11,1,11,"2023-07-12 01:31:28.711000000","2023-07-12 02:03:56.584731000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Buffalo Chicken Sandwich","A la Carte","Harvey's",7.25,2,14.5,"2023-07-11 01:34:10.881000000","2023-07-11 01:56:30.949537000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Two-bite Brownies","Sweet Treats","Pizza Pizza",4.51,1,4.51,"2023-07-10 01:02:22.370000000","2023-07-10 01:32:08.222123000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",12.65,1,12.65,"2023-07-10 01:02:22.370000000","2023-07-10 01:32:08.222123000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Nugget Sauce [50.0 Cals]","Condiments","McDonald's",0.45,1,0.45,"2023-07-08 05:28:35.882000000","2023-07-08 05:40:31.589205000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"10 Chicken McNuggets [490-630 Cals]","Individual Items","McDonald's",8.94,1,8.94,"2023-07-08 05:28:35.882000000","2023-07-08 05:40:31.589205000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"World Famous Fries [240.0 Cals]","Snacks & Sides","McDonald's",4.36,1,4.36,"2023-07-08 05:28:35.882000000","2023-07-08 05:40:31.589205000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",12.64,1,12.64,"2023-07-05 01:35:13.395000000","2023-07-05 01:56:48.689401000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Popcorn Chicken","Chicken","Pizza Pizza",6.92,1,6.92,"2023-07-05 01:35:13.395000000","2023-07-05 01:56:48.689401000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Egg Fry Rice","Rice and Noodles","Spicy Ho Ho",9.77,1,9.77,"2023-07-02 04:06:17.359000000","2023-07-02 04:46:15.916780000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Bubble Tea","Bubble Tea, Smoothie, and Ice Green Tea","Spicy Ho Ho",4.15,1,4.15,"2023-07-02 04:06:17.359000000","2023-07-02 04:46:15.916780000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"10 Chicken McNuggets [490-630 Cals]","Individual Items","McDonald's",8.98,1,8.98,"2023-07-01 05:57:52.386000000","2023-07-01 06:12:55.738027000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Nugget Sauce [50.0 Cals]","Condiments","McDonald's",0.45,1,0.45,"2023-07-01 05:57:52.386000000","2023-07-01 06:12:55.738027000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"World Famous Fries [240.0 Cals]","Snacks & Sides","McDonald's",4.37,1,4.37,"2023-07-01 05:57:52.386000000","2023-07-01 06:12:55.738027000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Bottle Pop","Drinks","Pizza Pizza",2.11,1,2.11,"2023-06-29 21:55:19.940000000","2023-06-29 22:10:38.669257000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",12.67,1,12.67,"2023-06-29 21:55:19.940000000","2023-06-29 22:10:38.669257000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",12.71,1,12.71,"2023-06-23 20:42:31.691000000","2023-06-23 20:57:25.463152000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Egg Fry Rice","Rice and Noodles","Spicy Ho Ho",9.85,1,9.85,"2023-06-22 03:01:02.253000000","2023-06-22 03:24:13.106653000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",12.75,1,12.75,"2023-06-21 02:40:28.494000000","2023-06-21 03:07:41.135716000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Buffalo Chicken Sandwich","A la Carte","Harvey's",7.25,1,7.25,"2023-06-17 03:49:30.331000000","2023-06-17 04:06:13.807493000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Bacon, Sausage & Egg Wrap","Hot Breakfast","Starbucks",5.86,1,5.86,"2023-06-15 13:41:17.648000000","2023-06-15 13:58:39.180345000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Caramel Frappuccino® Blended Beverage"," Frappuccino® Blended Beverages","Starbucks",7.22,1,7.22,"2023-06-15 13:41:17.648000000","2023-06-15 13:58:39.180345000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Dipping Sauce","Famous Dips","Pizza Pizza",1.05,1,1.05,"2023-06-14 02:04:15.560000000","2023-06-14 02:25:09.676575000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",11.77,1,11.77,"2023-06-14 02:04:15.560000000","2023-06-14 02:25:09.676575000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Dipping Sauce","Famous Dips","Pizza Pizza",1.05,1,1.05,"2023-06-12 00:38:25.732000000","2023-06-12 00:52:06.999373000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",11.74,1,11.74,"2023-06-12 00:38:25.732000000","2023-06-12 00:52:06.999373000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Sausage 'N Egg McMuffin Extra Value Meal [590.0 Cals]","Most Popular","McDonald's",8.27,1,8.27,"2023-06-10 14:00:32.296000000","2023-06-10 14:10:54.032719000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Premium Roast Coffee [3.0 Cals]","Hot Drinks","McDonald's",1.86,1,1.86,"2023-06-10 14:00:32.296000000","2023-06-10 14:10:54.032719000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Caramel Frappuccino® Blended Beverage"," Frappuccino® Blended Beverages","Starbucks",7.13,1,7.13,"2023-06-09 13:38:20.802000000","2023-06-09 13:54:48.846522000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Caramel Frappuccino® Blended Beverage"," Frappuccino® Blended Beverages","Starbucks",7.15,1,7.15,"2023-06-08 13:41:05.552000000","2023-06-08 13:58:13.766965000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spinach, Feta and Cage Free Egg White Wrap","Hot Breakfast","Starbucks",4.83,1,4.83,"2023-06-08 13:41:05.552000000","2023-06-08 13:58:13.766965000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",11.71,1,11.71,"2023-06-06 03:20:44.190000000","2023-06-06 03:37:20.085451000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Dipping Sauce","Famous Dips","Pizza Pizza",1.04,1,1.04,"2023-06-06 03:20:44.190000000","2023-06-06 03:37:20.085451000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Caramel Frappuccino® Blended Beverage"," Frappuccino® Blended Beverages","Starbucks",7.11,1,7.11,"2023-06-03 13:48:59.355000000","2023-06-03 14:03:54.348105000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Caramel Frappuccino® Blended Beverage"," Frappuccino® Blended Beverages","Starbucks",6.25,1,6.25,"2023-06-01 13:56:19.578000000","2023-06-01 14:12:21.273348000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Egg Fry Rice","Rice and Noodles","Spicy Ho Ho",9.54,1,9.54,"2023-05-31 04:00:04.250000000","2023-05-31 04:26:57.976738000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",12.33,1,12.33,"2023-05-27 03:31:31.316000000","2023-05-27 03:52:44.513420000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Monster Original","Drinks","Pizza Pizza",3.37,1,3.37,"2023-05-27 03:31:31.316000000","2023-05-27 03:52:44.513420000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spinach, Feta and Cage Free Egg White Wrap","Hot Breakfast","Starbucks",4.73,1,4.73,"2023-05-25 12:33:43.492000000","2023-05-25 12:55:40.502205000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Iced Shaken Espresso","Cold Coffees","Starbucks",4.21,1,4.21,"2023-05-25 12:33:43.492000000","2023-05-25 12:55:40.502205000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Farmer's Breakfast Wrap","Breakfast","Tim Hortons",4.33,2,8.67,"2023-05-24 13:27:27.539000000","2023-05-24 13:52:51.054503000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chocolate Chunk Cookie Cookies","Baked Goods","Tim Hortons",1.32,1,1.32,"2023-05-24 13:27:27.539000000","2023-05-24 13:52:51.054503000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Mocha Iced Capp","Cold Drinks","Tim Hortons",5.07,1,5.07,"2023-05-24 13:27:27.539000000","2023-05-24 13:52:51.054503000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Caramel Frappuccino® Blended Beverage"," Frappuccino® Blended Beverages","Starbucks",6.22,1,6.22,"2023-05-19 12:36:02.725000000","2023-05-19 12:53:40.427510000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spinach, Feta and Cage Free Egg White Wrap","Hot Breakfast","Starbucks",4.78,1,4.78,"2023-05-19 12:36:02.725000000","2023-05-19 12:53:40.427510000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chocolate Chunk Cookie","Bakery","Starbucks",2.78,1,2.78,"2023-05-19 12:36:02.725000000","2023-05-19 12:53:40.427510000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Medium","Create Your Own","Pizza Pizza",11.49,1,11.49,"2023-05-13 22:25:28.991000000","2023-05-13 22:47:02.933485000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Regular Chocolate Shake","Beverage","Harvey's",2.92,1,2.92,"2023-05-12 02:43:36.786000000","2023-05-12 02:57:20.246750000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Buffalo Chicken Sandwich","A la Carte","Harvey's",7.02,1,7.02,"2023-05-12 02:43:36.786000000","2023-05-12 02:57:20.246750000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Mocha Iced Capp","Cold Drinks","Tim Hortons",3.4,1,3.4,"2022-10-06 12:18:07.199000000","2022-10-06 12:45:29.989478000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Chocolate Chunk Cookie Cookies","Baked Goods","Tim Hortons",1.1,2,2.2,"2022-10-06 12:18:07.199000000","2022-10-06 12:45:29.989478000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
